act_pos0,act_pos1,act_pos2,act_torq0,act_torq1,act_torq2
-3,0,1,155,155,155
-3,0,1,25,25,25
-3,0,1,20,20,20
-3,0,1,96,96,96
-3,0,1,49,49,49
-3,0,1,52,52,52
-3,0,1,-9,-9,-9
-3,0,1,33,33,33
-3,0,1,16,16,16
-3,0,2,13,13,13
-3,0,1,69,69,69
-3,0,1,-90,-90,-90
-3,0,1,-73,-73,-73
-3,0,1,99,99,99
-3,0,1,-42,-42,-42
-3,0,1,18,18,18
-3,0,2,-35,-35,-35
-4,0,1,8,8,8
-3,0,1,113,113,113
-3,0,1,20,20,20
-3,0,1,59,59,59
-3,0,1,-70,-70,-70
-3,0,1,39,39,39
-3,0,1,44,44,44
-3,0,1,-53,-53,-53
-3,0,1,-6,-6,-6
-3,0,1,-17,-17,-17
-3,0,1,-31,-31,-31
-3,0,1,-83,-83,-83
-3,0,1,14,14,14
-3,0,1,-13,-13,-13
-3,0,1,89,89,89
-3,0,1,76,76,76
-3,0,1,58,58,58
-3,0,1,43,43,43
-3,0,1,-79,-79,-79
-3,0,1,13,13,13
-4,0,1,47,47,47
-3,0,1,21,21,21
-3,0,1,-46,-46,-46
-3,0,1,24,24,24
-3,0,1,-29,-29,-29
-3,0,1,6,6,6
-3,0,1,52,52,52
-3,0,1,62,62,62
-3,0,1,-91,-91,-91
-2,0,1,-80,-80,-80
-3,0,1,-5,-5,-5
-3,0,2,134,134,134
-3,0,1,36,36,36
-3,0,1,0,0,0
-3,0,2,17,17,17
-3,0,1,14,14,14
-3,0,1,-49,-49,-49
-3,0,1,7,7,7
-3,0,1,-24,-24,-24
-3,0,1,4,4,4
-3,0,1,-2,-2,-2
-3,0,1,37,37,37
-3,0,1,3,3,3
-3,0,1,-52,-52,-52
-4,0,1,-30,-30,-30
-3,0,1,8,8,8
-3,0,1,54,54,54
-3,0,1,68,68,68
-3,0,1,-5,-5,-5
-3,0,1,6,6,6
-3,0,1,47,47,47
-3,0,1,57,57,57
-4,0,1,10,10,10
-3,0,0,30,30,30
-3,0,1,-21,-21,-21
-3,0,1,-12,-12,-12
-3,0,1,13,13,13
-3,0,1,12,12,12
-3,0,1,6,6,6
-3,0,1,21,21,21
-2,0,1,-36,-36,-36
-3,0,1,-15,-15,-15
-4,0,1,16,16,16
-3,0,1,70,70,70
-3,0,1,77,77,77
-3,0,1,-27,-27,-27
-3,0,1,-24,-24,-24
-3,0,1,-48,-48,-48
-3,0,1,69,69,69
-3,0,1,-83,-83,-83
-3,0,2,63,63,63
-3,0,1,116,116,116
-3,0,1,48,48,48
-3,0,1,-64,-64,-64
-3,0,1,-58,-58,-58
-3,0,1,-16,-16,-16
-3,0,1,-6,-6,-6
-3,0,1,85,85,85
-3,0,1,20,20,20
-3,0,1,5,5,5
-3,0,1,50,50,50
-3,0,1,103,103,103
-3,0,1,108,108,108
-3,0,1,-95,-95,-95
-2,0,1,44,44,44
-3,0,1,63,63,63
-3,0,1,17,17,17
-3,0,1,-29,-29,-29
-3,0,1,-27,-27,-27
-3,0,1,12,12,12
-3,0,1,15,15,15
-3,0,1,-38,-38,-38
-3,0,1,60,60,60
-3,0,1,1,1,1
-3,0,1,63,63,63
-3,0,1,-20,-20,-20
-3,0,1,91,91,91
-3,0,1,-35,-35,-35
-3,0,1,0,0,0
-3,0,1,-1,-1,-1
